,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Luigi's Gourmet Pizza,40.76559,-73.98349,2016-0825,2016,2.75,$2.75,Plain
,Giuseppe's Pizza At St George,40.64222552,-74.07674037,2016-0823,2016,2.00,$2.00,Plain
,Tom's Pizza & Italian Restaurant Inc,40.69498,-73.84286,2016-0822,2016,2.00,$2.00,Plain
,Three Brothers 3,40.680423,-73.753499,2016-0820,2016,2.00,$2.00,Plain
,Domenick's Pizza,40.6781657,-73.8317404,2016-0820,2016,2.00,$2.00,Plain
,John & Tony's,40.76042052,-73.9616057,2016-0819,2016,2.95,$2.95,Plain
,Mario's Pizza,40.68683,-73.96644,2016-0818,2016,3.00,$3.00,Pepperoni
,J&D Pizzeria Restaurant,40.67429,-73.87879,2016-0813,2016,1.00,$1.00,Plain
,Lenny's Pizza,40.65064377,-73.83810071,2016-0813,2016,3.00,$3.00,Plain
,Romeo's Pizzeria,40.6739049,-73.8434862,2016-0807,2016,2.50,$2.50,Plain
,Dany's Pizza Restaurant,40.690672,-73.869665,2016-0807,2016,2.00,$2.00,Plain
,Cafe Daniellos,40.75882,-73.96543,2016-0728,2016,2.75,$2.75,Plain
,Gino's Pizzeria,40.65234,-73.95902,2016-0727,2016,2.25,$2.25,Plain
,Armando's Pizza,40.610228,-73.922216,2016-0727,2016,2.45,$2.45,Plain
,Ray's Pizza,40.72299,-73.99458,2016-0702,2016,3.95,$3.95,Grandma
,Claudio's Pizzeria,40.7604,-73.99469,2016-0629,2016,3.75,$3.75,Pepperoni
,Aenos Pizza,40.83679,-73.88908,2016-0629,2016,2.25,$2.25,Plain
,Luke Pizza,40.8293304,-73.8915024,2016-0627,2016,2.50,$2.50,Plain
,Fresco Pizza & Pasta,40.8142087,-73.9131972,2016-0627,2016,2.25,$2.25,Plain
,Pinos La Forchetta Pizzeria & Restaurant,40.67133,-73.9777,2016-0626,2016,2.75,$2.75,Plain
,Bleecker Street Pizza,40.73226681,-74.00341905,2016-0617,2016,3.25,$3.25,Pepperoni
,Roma Pizza,40.7803,-73.95312,2016-0611,2016,2.50,$2.50,Plain
,Saba's Pizza NY,40.77711,-73.95716,2016-0609,2016,3.25,$3.25,Plain
,Little Italy Pizza,40.77856,-73.95294,2016-0609,2016,2.75,$2.75,Plain
,99¢ Pizza,40.69244206,-73.98670256,2016-0601,2016,1.00,$1.00,Plain
,My PIE Pizzeria,40.76079,-73.96941,2016-0524,2016,5.25,$5.25,Grandma
,Sal's Pizza Store,40.68361,-73.99514,2016-0523,2016,2.75,$2.75,Plain
,Cotta Bene Pizzeria Restaurant,40.67686,-73.98619,2016-0517,2016,2.50,$2.50,Plain
,NY Pizza Suprema,40.75014,-73.99518,2016-0505,2016,3.00,$3.00,Plain
,Pizza Boy II,40.74552183,-73.90555705,2016-0503,2016,2.45,$2.45,Plain
,Martiniello's Pizzeria,40.74885,-73.87086,2016-0503,2016,1.50,$1.50,Plain
,Marabella Pizza,40.74031,-73.92373,2016-0502,2016,2.50,$2.50,Plain
,Mark's Pizza,40.67882,-74.01138,2016-0430,2016,2.50,$2.50,Plain
,Picasso Pizzeria,40.71021,-74.01649,2016-0429,2016,3.15,$3.15,Plain
,Mario's Pizzeria,40.68346,-73.99002,2016-0419,2016,1.50,$1.50,Plain
,Milano Pizza Shop,40.79684,-73.93812,2016-0323,2016,2.25,$2.25,Plain
,620 Caton Pizzeria,40.64755,-73.97392,2016-0315,2016,2.50,$2.50,Plain
